surface_id,bulk_id,gemnet_e_ads_o,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,dft_e_ads_o,dft_e_ads_oh,dft_U_limiting,dft_eta_ORR,dft_limiting_step,error_e_ads_o,error_e_ads_oh,error_eta,performance
mp-1229015_001,mp-1229015,2.3835806884765622,0.8699953613281242,0.8500046386718756,0.3799953613281244,2.68575662,1.2114214499999854,0.5085785500000144,0.7214214499999856,1,-0.3021759315234376,-0.3414260886718612,-0.3414260886718612,Poor
mp-1025348_001,mp-1025348,2.431783203125,0.8669283447265617,0.8530716552734381,0.3769283447265619,2.608970019999994,1.2147197699999983,0.5052802300000012,0.7247197699999988,1,-0.1771868168749937,-0.34779142527343665,-0.34779142527343687,Poor
mp-8426_111,mp-8426,1.694242004394531,0.8630068359374992,0.8312351684570318,0.3987648315429681,1.81529029,0.4674567199999977,0.4674567199999977,0.7625432800000023,4,-0.1210482856054691,0.39555011593750145,-0.36377844845703416,Poor
mp-10046_001,mp-10046,1.7730917968749995,0.9043886718749992,0.8156113281250006,0.4143886718749994,1.2667857499999613,0.8037474699999869,0.4630382799999744,0.7669617200000256,3,0.5063060468750382,0.10064120187501224,-0.3525730481250262,Poor
mp-569044_001,mp-569044,1.8096213378906247,0.901756530761718,0.8182434692382818,0.4117565307617181,1.586376839999993,1.1397531099999971,0.4466237299999958,0.7833762700000042,3,0.22324449789063183,-0.2379965792382791,-0.3716197392382861,Poor
mvc-13133_101,mvc-13133,1.9587607421875,0.9001925048828117,0.8198074951171881,0.4101925048828119,2.211051079999997,0.4361578300000097,0.4361578300000097,0.7938421699999902,4,-0.2522903378124972,0.464034674882802,-0.38364966511717835,Poor
mp-1217383_001,mp-1217383,1.8732810058593747,0.9021608886718742,0.8178391113281256,0.4121608886718744,2.1979265799999936,1.2999973499999804,0.42000265000001935,0.8099973499999806,1,-0.3246455741406189,-0.39783646132810624,-0.39783646132810624,Poor
mp-1224378_001,mp-1224378,2.2080206909179685,0.8781206665039054,0.8418793334960943,0.3881206665039056,1.2321009800000056,0.8630088600000043,0.36909212000000124,0.8609078799999987,3,0.9759197109179629,0.015111806503901093,-0.47278721349609315,Poor
mp-1662_101,mp-1662,1.8283591308593747,0.8598024902343742,0.8598024902343742,0.3701975097656258,2.3377561699999987,1.386351869999995,0.3336481300000047,0.8963518699999953,1,-0.509397039140624,-0.5265493797656209,-0.5261543602343695,Poor
mp-556516_001,mp-556516,2.0453696289062497,0.8137819824218742,0.8137819824218742,0.4162180175781258,1.807169940000016,0.3055980399999747,0.3055980399999747,0.9244019600000253,4,0.23819968890623366,0.5081839424218995,-0.5081839424218995,Poor
mp-567525_111,mp-567525,1.904515747070312,0.9022142944335928,0.8177857055664068,0.4122142944335931,2.204406720000001,1.446973599999989,0.27302640000001066,0.9569735999999893,1,-0.299890972929689,-0.5447593055663963,-0.5447593055663962,Poor
