surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,fork_U_limiting,fork_eta_ORR,fork_limiting_step
mp-28383_010,mp-28383,1.8496832885742185,1.4424490966796872,0.7068407592773429,0.6920092163085929,0.7068407592773429,0.5231592407226571,4
mp-28408_010,mp-28408,3.6643576660156247,1.1705374755859372,1.0703585205078117,0.9759676513671868,0.6060008544921871,0.6239991455078129,2
mp-28566_110,mp-28566,2.3720908203125,1.1832785644531247,1.1684267578124992,1.0992128906249992,0.5515732421875006,0.6784267578124994,1
mp-28595_010,mp-28595,1.9751410522460933,1.6702780761718747,0.6599886474609367,0.6940844116210929,0.6599886474609367,0.5700113525390633,4
mp-28658_001,mp-28658,3.4512534179687497,3.2173361816406247,1.1756289062499992,2.6138460693359367,0.5443710937500006,0.6856289062499994,1
mp-28768_110,mp-28768,2.254003051757812,1.6801657714843747,0.9881441650390616,1.4268190917968742,0.7318558349609381,0.4981441650390619,1
mp-28773_001,mp-28773,1.7969870605468747,1.2269492187499995,0.9785769042968742,0.6865541992187492,0.7414230957031256,0.4885769042968744,1
mp-28810_11-1,mp-28810,1.9180197753906247,0.9583334960937496,0.8908693847656242,1.5797426757812492,0.8291306152343756,0.4008693847656244,1
mp-28843_100,mp-28843,1.866055969238281,1.3785834350585937,1.0847322998046869,1.1718599853515617,0.6352677001953131,0.5947322998046869,1
mp-28858_101,mp-28858,1.8197684326171872,1.4672598876953122,0.5640413818359367,1.2988894042968742,0.5640413818359367,0.6659586181640633,4
mp-28877_101,mp-28877,1.5273795166015622,1.5037741699218747,0.6575319824218742,0.9750673828124992,0.6575319824218742,0.5724680175781258,4
mp-28947_010,mp-28947,2.822537902832031,2.681455139160156,0.9359057006835928,1.2757036743164054,0.7840942993164068,0.44590570068359314,1
mp-28954_011,mp-28954,1.6443228759765622,1.0213065185546872,0.8072359619140617,0.2552187499999991,0.8072359619140617,0.4227640380859383,4
mp-28987_001,mp-28987,1.9920554199218747,2.1070151367187497,0.5704958496093742,1.3446657714843742,0.5704958496093742,0.6595041503906258,4
mp-29138_100,mp-29138,2.0368247070312497,1.2037711181640622,1.1725313720703117,1.1467897949218742,0.5474686279296881,0.6825313720703119,1
mp-29139_001,mp-29139,1.2878012695312495,1.2228293457031247,0.6229708251953117,0.7260592041015617,0.6229708251953117,0.6070291748046883,4
mp-29168_100,mp-29168,2.3513999023437497,1.6592612304687495,0.5481646118164054,0.9553606567382804,0.5481646118164054,0.6818353881835946,4
mp-29198_010,mp-29198,1.7256064453124995,1.4935812988281247,1.1717684326171869,1.1911776123046869,0.5482315673828131,0.6817684326171869,1
mp-29228_100,mp-29228,2.0742087402343747,2.8374533691406247,0.9913637695312492,1.5440371093749992,0.7286362304687506,0.5013637695312494,1
mp-29238_011,mp-29238,1.8865866699218747,2.1115012207031247,0.8422091064453117,1.0469210205078117,0.8422091064453117,0.3877908935546883,4
